timestamp,location,severity,cause
2023-01-06 04:30:00,Highway,Severe,Weather
2023-01-05 18:00:00,City Center,Severe,Distracted Driving
2023-01-10 03:30:00,Suburb,Moderate,Distracted Driving
2023-01-07 10:30:00,Downtown,Severe,Weather
2023-01-01 13:45:00,Highway,Moderate,Speeding
2023-01-02 15:45:00,Suburb,Severe,Speeding
2023-01-10 18:30:00,Downtown,Moderate,Mechanical Failure
2023-01-04 19:00:00,Downtown,Severe,Weather
2023-01-02 00:30:00,Suburb,Severe,Speeding
2023-01-04 17:00:00,Downtown,Minor,Mechanical Failure
2023-01-03 02:30:00,Suburb,Severe,Weather
2023-01-11 00:30:00,Suburb,Moderate,Distracted Driving
2023-01-11 09:45:00,Suburb,Moderate,Mechanical Failure
2023-01-01 21:30:00,Highway,Minor,Speeding
2023-01-11 08:45:00,City Center,Minor,Weather
2023-01-06 11:30:00,Suburb,Severe,Weather
2023-01-05 15:15:00,Suburb,Minor,Mechanical Failure
2023-01-08 00:00:00,City Center,Moderate,Mechanical Failure
2023-01-09 01:00:00,Suburb,Moderate,Mechanical Failure
2023-01-02 12:15:00,Highway,Severe,Mechanical Failure
2023-01-01 16:00:00,Highway,Severe,Mechanical Failure
2023-01-01 01:00:00,Highway,Moderate,Weather
2023-01-07 23:45:00,City Center,Minor,Speeding
2023-01-10 09:30:00,City Center,Moderate,Speeding
2023-01-07 04:30:00,Suburb,Severe,Speeding
2023-01-01 23:45:00,Highway,Minor,Weather
2023-01-09 13:00:00,Suburb,Severe,Weather
2023-01-08 03:15:00,City Center,Severe,Weather
2023-01-07 04:00:00,Suburb,Minor,Mechanical Failure
2023-01-03 05:30:00,Highway,Moderate,Mechanical Failure
2023-01-05 16:15:00,Downtown,Moderate,Weather
2023-01-06 10:30:00,Highway,Severe,Weather
2023-01-02 13:45:00,Downtown,Minor,Weather
2023-01-09 01:30:00,Downtown,Minor,Speeding
2023-01-02 16:30:00,City Center,Minor,Distracted Driving
2023-01-10 11:15:00,City Center,Moderate,Distracted Driving
2023-01-08 07:00:00,Downtown,Minor,Distracted Driving
2023-01-02 13:00:00,Suburb,Moderate,Mechanical Failure
2023-01-11 09:15:00,Highway,Moderate,Speeding
